"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "JavaScript", "Batch", "TypeScript JSX", "CSS", "YAML", "comment", "blank", "total"
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/models/mongoose_models/problem.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 120
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/models/mongoose_models/user.ts", "TypeScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 100
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/slices/authSlice.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 70
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/slices/popupSlice.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 82
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/slices/processSlice.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/streamReader.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/page.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/popup/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 0, 12, 8, 89
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/popup/style.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 3, 117
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/store.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/storeProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 2, 18
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/userprofile/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 110, 0, 0, 1, 12, 123
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/userprofile/style.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 103, 0, 1, 3, 107
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/verify/[token]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 9, 48
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/verify/[token]/style.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"/home/somecoder/Documents/web/web project/student-teacher/client/tests-examples/demo-todo-app.spec.ts", "TypeScript", 314, 0, 0, 0, 0, 0, 0, 0, 0, 39, 85, 438
"/home/somecoder/Documents/web/web project/student-teacher/client/tests/example.spec.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"/home/somecoder/Documents/web/web project/student-teacher/client/tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 2328, 27, 23, 2020, 28, 5, 921, 795, 27, 151, 606, 6931
